gamma,nu,accuracy,recall,precision,f1,time
0.5,0.001,0.7698946795320514,0.983739837398374,0.015106117353308364,0.029755317840895117,92954.640625
0.03,0.9,0.5490714687675858,1.0,0.007616570685491362,0.015117994100294985,93080.0625
0.03,0.5,0.7397596204437002,0.983739837398374,0.013324523730866645,0.026292916123424596,109712.0625
0.02,0.7,0.6452596639078377,0.991869918699187,0.009694080254270957,0.019200503619767075,121043.84375
0.03,0.7,0.6452455952528011,0.991869918699187,0.009693695125342657,0.019199748200023608,117162.953125
0.5,0.9,0.5493106359032076,1.0,0.007620581766364115,0.015125895409967104,92745.609375
1.0,0.001,0.6596245613553491,0.983739837398374,0.010143348143180485,0.020079654829074013,113799.859375
0.5,0.7,0.6437046771987135,0.9959349593495935,0.009635805868009124,0.019086942972888748,123587.15625
2.0,0.0001,0.5009848058525604,1.0,0.006887669391869191,0.013681107836049165,13093.921875
0.5,0.5,0.7276887144223159,0.983739837398374,0.012723449001051525,0.025121976538980587,146785.09375
0.5,0.005,0.781277022111808,0.975609756097561,0.0160857908847185,0.03164974284583937,229704.890625
0.5,0.01,0.7831200159215999,0.975609756097561,0.016228277774021232,0.03192550714998337,218059.5625
1.0,0.005,0.6719619711672637,0.991869918699187,0.010484702646957717,0.02075006378093375,162784.0
0.5,0.1,0.7834295263324045,0.975609756097561,0.016252454797860093,0.03197229068140944,215363.078125
1.0,0.7,0.6355514912774338,1.0,0.00940690604565791,0.01863848164564155,158952.828125
0.5,0.02,0.784048547154014,0.975609756097561,0.01630102560619439,0.03206627029193666,243553.703125
0.5,0.007,0.7828245741658317,0.975609756097561,0.016205266711681297,0.031880977683315624,277953.671875
1.0,0.9,0.5487056837366348,1.0,0.007610444251949016,0.015105925698495547,90253.9375
0.5,0.3,0.7806298639801255,0.975609756097561,0.016036349057864493,0.031554036287141735,223391.25
1.0,0.02,0.6799604018831409,0.9878048780487805,0.010772231580813902,0.02131205051745308,227752.296875
0.5,0.05,0.783148153231673,0.975609756097561,0.016230472712517752,0.03192975454001198,280274.5625
1.0,0.007,0.6715547808263677,0.983739837398374,0.01051716644936984,0.02081183350533196,233891.953125
1.0,0.01,0.6808748644605185,0.9878048780487805,0.01080336104565865,0.021372971546681913,231446.703125
2.0,0.001,0.5169949352841868,1.0,0.007114350164844699,0.014128187456926258,116789.625
2.0,0.9,0.5472988182329769,1.0,0.007586972612879349,0.015059687786960513,55088.359375
1.0,0.5,0.6826822863051365,0.991869918699187,0.01083962683251888,0.02144489365442081,266053.171875
2.0,0.005,0.608680360157569,1.0,0.008766615587470154,0.017380859857985657,159261.09375
1.0,0.05,0.6804387361543847,0.9878048780487805,0.010788492274906766,0.021343873517786563,295979.09375
2.0,0.7,0.6160945413618458,1.0,0.00893440836783613,0.01771058315334773,103519.5625
1.0,0.1,0.6824786911346885,0.9878048780487805,0.010858394030117522,0.021480662983425415,301156.171875
2.0,0.01,0.6154333145751266,1.0,0.008919183495884848,0.017680669853020445,162283.6875
2.0,0.007,0.6135340461451885,1.0,0.008875739644970414,0.017595307917888565,177325.5
1.0,0.3,0.682295798619213,0.9878048780487805,0.010852090032154342,0.021468327590776572,309430.34375
2.0,0.02,0.6241558806978053,1.0,0.0091242906420385,0.018083581431249312,167479.71875
2.0,0.05,0.6269414743950479,1.0,0.009191794641856293,0.01821615017216483,148218.859375
2.0,0.1,0.6265053460889138,1.0,0.00918115996118534,0.01819526627218935,142503.5
2.0,0.3,0.6268570624648284,1.0,0.00918973439426202,0.018212104386451974,126134.71875
2.0,0.5,0.6266882386043894,1.0,0.009185616668533661,0.018204018204018204,124195.609375
